Hab,Species,LS,LPC,Light,Assc,SLA
Hab3,AM,Adult,0.458870168,ST,No,280.7986729
Hab2,AM,Adult,0.448959366,ST,No,274.6236628
Hab2,AM,Adult,0.488602577,ST,No,247.6778408
Hab2,AM,Adult,0.666997027,ST,No,183.0096842
Hab3,AM,Adult,0.458870168,ST,No,319.6921474
Hab2,AM,Adult,0.389494549,ST,No,267.5333251
Hab2,AM,Adult,0.478691774,ST,No,290.0728188
Hab2,AM,Adult,0.567888999,ST,No,275.622214
Hab2,AM,Adult,0.766105055,ST,No,212.8324515
Hab2,AM,Adult,0.617443013,ST,No,221.8251415
Hab3,AM,Adult,0.577799802,ST,No,197.0036656
Hab3,AM,Adult,0.379583746,ST,No,270.4427115
Hab3,AM,Adult,0.67690783,ST,No,163.3408379
Hab3,AM,Adult,0.567888999,ST,No,138.4905602
Hab3,AM,Adult,0.716551041,ST,No,357.3799679
Hab3,AM,Adult,0.766105055,ST,No,207.7144814
Hab3,AM,Adult,0.637264618,ST,No,292.7533039
Hab3,AM,Adult,0.60753221,ST,No,313.9057551
Hab1,AM,Adult,0.716551041,ST,Yes,232.624537
Hab2,AM,Adult,0.538156591,ST,No,363.2868336
Hab1,AM,Adult,0.706640238,ST,Yes,312.6705868
Hab1,AM,Adult,0.686818632,ST,Yes,293.1727273
Hab1,AM,Adult,0.637264618,ST,Yes,289.4225513
Hab1,AM,Adult,0.617443013,ST,Yes,328.313332
Hab1,AM,Adult,0.577799802,ST,Yes,263.7081807
Hab2,AM,Adult,0.875123885,ST,No,275.3270224
Hab1,AM,Adult,0.557978196,ST,Yes,337.945802
Hab1,AM,Adult,0.42913776,ST,Yes,332.7604157
Hab2,AM,Sapling,1.261645193,ST,No,287.6823782
Hab1,AM,Sapling,0.686818632,ST,No,229.1478331
Hab2,AM,Sapling,0.994053518,ST,No,268.3831496
Hab1,AM,Sapling,0.746283449,ST,No,336.2206983
Hab1,AM,Sapling,0.488602577,ST,No,207.7238614
Hab1,AM,Sapling,0.379583746,ST,No,186.3513888
Hab1,AM,Sapling,0.696729435,ST,No,177.544873
Hab1,AM,Sapling,0.567888999,ST,No,386.0261349
Hab1,AM,Sapling,0.736372646,ST,No,218.2214206
Hab1,AM,Sapling,0.60753221,ST,No,291.0713828
Hab3,AM,Sapling,0.766105055,ST,No,279.7586071
Hab1,AM,Sapling,0.944499504,ST,No,277.448176
Hab2,AM,Sapling,0.805748266,ST,No,350.0780005
Hab2,AM,Sapling,0.805748266,ST,No,339.3529095
Hab2,AM,Sapling,0.885034688,ST,No,291.7995202
Hab2,AM,Sapling,1.14271556,ST,No,288.1396619
Hab3,AM,Sapling,0.716551041,ST,No,360.6748832
Hab3,AM,Sapling,0.696729435,ST,No,208.2081508
Hab3,AM,Sapling,0.666997027,ST,No,364.4071297
Hab2,AM,Sapling,0.696729435,ST,No,333.3652404
Hab3,AM,Sapling,0.657086224,ST,No,202.1278039
Hab3,AM,Sapling,0.647175421,ST,No,255.8415584
Hab2,AM,Sapling,1.063429138,ST,No,321.4018565
Hab3,AM,Sapling,0.637264618,ST,No,135.0765484
Hab3,AM,Sapling,0.617443013,ST,No,397.5521753
Hab2,AM,Sapling,0.914767096,ST,No,397.0813427
Hab2,AM,Sapling,0.885034688,ST,No,263.8162402
Hab3,TA,Adult,0.885034688,ST,Yes,311.9346147
Hab3,TA,Adult,1.053518335,ST,Yes,272.0186015
Hab1,TA,Adult,0.924677899,ST,No,287.0359533
Hab3,TA,Adult,0.875123885,ST,Yes,390.6759311
Hab3,TA,Adult,0.934588702,ST,Yes,175.9272298
Hab3,TA,Adult,1.053518335,ST,Yes,178.1002477
Hab2,TA,Adult,0.994053518,ST,No,179.0087398
Hab3,TA,Adult,0.815659068,ST,Yes,182.2950328
Hab1,TA,Adult,1.043607532,ST,No,191.9219261
Hab2,TA,Adult,1.202180377,ST,No,292.9095877
Hab3,TA,Adult,0.865213082,ST,Yes,252.5442743
Hab2,TA,Adult,1.063429138,ST,No,376.1562292
Hab2,TA,Adult,0.835480674,ST,No,216.6161322
Hab3,TA,Adult,0.894945491,ST,Yes,243.9498879
Hab1,TA,Adult,1.479682854,ST,No,233.6479761
Hab1,TA,Adult,1.360753221,ST,No,349.7459063
Hab1,TA,Adult,1.459861249,ST,No,336.8501196
Hab2,TA,Adult,0.885034688,ST,No,219.0451566
Hab2,TA,Adult,1.013875124,ST,No,306.7004564
Hab2,TA,Adult,1.291377602,ST,No,299.3810558
Hab2,TA,Adult,1.073339941,ST,No,271.5145851
Hab1,TA,Adult,0.696729435,ST,No,265.6870432
Hab1,TA,Adult,0.96432111,ST,No,241.0381614
Hab2,TA,Adult,0.865213082,ST,No,362.3700213
Hab1,TA,Adult,1.370664024,ST,No,202.4948638
Hab1,TA,Adult,0.944499504,ST,No,405.499867
Hab1,TA,Adult,0.795837463,ST,No,183.9615771
Hab2,TA,Adult,0.984142716,ST,No,174.7364671
Hab1,TA,Sapling,1.073339941,ST,No,170.0736751
